"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
840,183,"COG","Republic of Congo",1,"Bouenza","","","Région","Region"
841,183,"COG","Republic of Congo",2,"Cuvette-Ouest","","","Région","Region"
842,183,"COG","Republic of Congo",3,"Cuvette","","","Région","Region"
843,183,"COG","Republic of Congo",4,"Kouilou","","","Région","Region"
844,183,"COG","Republic of Congo",5,"Lékoumou","","","Région","Region"
845,183,"COG","Republic of Congo",6,"Likouala","","","Région","Region"
846,183,"COG","Republic of Congo",7,"Niari","","","Région","Region"
847,183,"COG","Republic of Congo",8,"Plateaux","","","Région","Region"
848,183,"COG","Republic of Congo",9,"Pool","","","Région","Region"
849,183,"COG","Republic of Congo",10,"Sangha","","","Région","Region"
